reading_no;sample_measurement_id;sample_id;site_id;sweref_n;sweref_e;parish;patina;hue;color;material;artefact;type;note;texture;grain_size;layering;topography;homogeneity;inclusion;surface;max_width_mm;max_length_mm;max_height_mm;weight_g;area_mm;sample_size;Bal;Mg;Al;Si;P;S;Cl;K;Ca;V;Cr;Mn;Fe;Co;Ni;Cu;Zn;As;Se;Rb;Sr;Y;Zr;Nb;Mo;Pd;Ag;Cd;Sn;Sb;Ba;Hf;Ta;W;Re;Au;Hg;Ti;Pb;Bi;Th;U
648;26;26;;7295916;573443;Sorsele;No;Light;Opaque;Quartzite;Point fragment;Point fragment;;Fine-grained;Granoblastic;Non-foliated;Conchoidal;Yes;;;18;50;6;6;900;Medium;;2.3938 ;1.5359 ;89.6703 ;0.3871 ;0.7827 ;3.4685 ;1.1659 ;0.2150 ;;0.0190 ;0.2156 ;0.0097 ;0.0027 ;;;;;;;;;;;;;;;0.0038 ;;0.0779 ;;;;;;;0.0998 ;;;;
649;27;27;;7295916;573443;Sorsele;No;Translucent;Translucent;Quartzite;Point;Point;;Fine-grained;Granoblastic;Non-foliated;Smooth;Yes;;;23;44;6;7;1012;Medium;57.6388 ;;0.0444 ;41.8136 ;0.0143 ;0.0601 ;0.3153 ;0.0845 ;0.0145 ;;0.0060 ;;;;;;;;;;;;;;;;;;;;0.0060 ;;;;;;;0.0024 ;;;;
650;28;28;Sorsele 552;7316830;555778;Sorsele;Yes;Dark;Black;Quartzite;Point;Point;;Medium-grained;Granoblastic;Non-foliated;Smooth;No;Bands of quartz;Iron oxide;15;15;5;2;225;Small;55.9115 ;0.5659 ;0.6486 ;42.1265 ;0.0354 ;0.0543 ;0.2588 ;0.1973 ;0.0637 ;;0.0021 ;;0.0957 ;;;;;;;0.0004 ;0.0007 ;;0.0036 ;;;;;;;;0.0045 ;;;;;;;0.0312 ;;;;
651;29;29;Sorsele 733;7300838;576919;Sorsele;No;Light;Opaque;Quartzite;Point;Point;;Fine-grained;Granoblastic;Non-foliated;Smooth;Yes;;;9;25;5;2;225;Small;53.0020 ;;0.4378 ;45.7982 ;0.0220 ;0.1186 ;0.3271 ;0.1685 ;0.0161 ;;0.0057 ;;0.0021 ;;;;;;;;;;;;;;;;;;;;;;;;;0.0095 ;;;;
652;30;30;;7295916;573443;Sorsele;No;Dark;Gray;Quartzite;Preform;Preform;;Medium-grained;Granoblastic;Non-foliated;Conchoidal;No;Bands of dark mineral;;38;77;20;75;2926;Large;54.5179 ;;0.6511 ;44.0974 ;0.0296 ;0.0751 ;0.2592 ;0.2371 ;0.0307 ;;0.0035 ;;0.0219 ;;;;;;;0.0007 ;0.0003 ;;0.0056 ;;;;;;0.0006 ;;0.0219 ;;;;;;;0.0472 ;;;0.0001 ;
653;31;31;Sorsele 733;7300838;576919;Sorsele;No;Dark;Gray;Quartzite;Point;Point;;Fine-grained;Granoblastic;Non-foliated;Smooth;No;Bands of quartz;;17;31;6;5;527;Small;55.8336 ;0.3442 ;0.5243 ;42.6047 ;0.0242 ;0.0310 ;0.2496 ;0.2354 ;0.0285 ;;0.0031 ;;0.0215 ;;;;;;;0.0006 ;;;0.0152 ;;;;;;;;0.0136 ;;;;;;;0.0705 ;;;0.0002 ;
654;32;32;Sorsele 733;7300838;576919;Sorsele;No;Dark;Black;Quartzite;Point;Point;;Medium-grained;Porphyroblastic;Non-foliated;Conchoidal;No;Mineral grains;;25;55;9;13;1375;Medium;0.0233 ;;2.6854 ;93.6451 ;0.2225 ;0.2790 ;1.4530 ;1.0401 ;0.1474 ;;0.0168 ;0.1751 ;0.0093 ;0.0041 ;;;;;;;;;;;;;;;;;0.1412 ;;;;;;;0.1577 ;;;;
655;33;33;Sorsele 334;7267203;584998;Sorsele;No;Translucent;Translucent;Breccie quartz;Point fragment;Point fragment;;Fine-grained;Granoblastic;Non-foliated;Fine;No;Dark mineral grains;;17;25;;;425;Small;53.7856 ;;0.1985 ;45.5889 ;;0.0562 ;0.2688 ;0.0718 ;0.0110 ;;0.0061 ;;0.0022 ;;;;;;;;;;0.0027 ;;;;;;0.0004 ;;0.0021 ;;;;;;;0.0058 ;;;;
656;34;34;Stensele 83;7216217;605963;Stensele;No;Light;Opaque;Quartzite;Point;Point;;Fine-grained;Granoblastic;Non-foliated;Fine;Yes;;;23;32;8;6;736;Medium;53.5761 ;0.4855 ;0.1231 ;45.4096 ;0.0147 ;0.0463 ;0.2452 ;0.0727 ;0.0109 ;;0.0049 ;;;;;;;;;;;;;;;;;;;;0.0082 ;;;;;;;0.0028 ;;;;
657;35;35;Stensele 481;7223941;592246;Stensele;No;Dark;Black;Quartzite;Arrow point;Point;;Medium-grained;Granoblastic;Non-foliated;Conchoidal;Yes;;;19;30;6;5;570;Small;;1.6138 ;3.0183 ;92.6674 ;0.2225 ;0.2950 ;0.9332 ;0.5244 ;0.1401 ;;0.0161 ;0.1562 ;0.0114 ;0.0027 ;;;;;;;;;;;;;;;;;0.0524 ;;;;;;;0.3872 ;;;;
